day,cluster,n,hc,fraud
1,0,18460,2818,7
1,1,15529,110,0
1,2,22992,1741,3
1,3,25119,2486,2
1,4,26423,781,36
2,0,15252,2397,18
2,1,12830,33,0
2,2,18165,607,0
2,3,20637,809,3
2,4,18748,201,36
3,0,35,18,13
3,1,24,3,0
3,2,11,0,0
3,3,16,5,4
3,4,87,10,34
4,0,803,111,13
4,1,984,14,0
4,2,867,43,0
4,3,779,67,3
4,4,1898,26,34
5,0,277,31,12
5,1,325,10,0
5,2,287,21,0
5,3,198,35,5
5,4,740,18,33
6,0,15082,2264,5
6,1,13038,22,0
6,2,17440,584,0
6,3,20444,687,2
6,4,16827,162,29
7,0,14273,2012,10
7,1,11812,26,0
7,2,17033,533,0
7,3,19086,521,4
7,4,17073,132,37
8,0,15366,2381,9
8,1,12878,34,0
8,2,17684,456,0
8,3,20251,614,5
8,4,18404,149,40
9,0,13970,2005,12
9,1,11756,28,0
9,2,16346,503,0
9,3,17815,395,4
9,4,18964,126,33
10,0,13070,1707,13
10,1,11981,37,0
10,2,15665,468,0
10,3,17727,577,3
10,4,15350,105,35
11,0,14089,2150,12
11,1,11996,32,0
11,2,16398,409,0
11,3,18515,495,5
11,4,17627,112,44
12,0,12058,1882,12
12,1,10445,28,0
12,2,13287,590,0
12,3,14088,267,5
12,4,16057,98,42
13,0,14595,2447,13
13,1,13276,20,0
13,2,17257,1546,0
13,3,19858,1029,2
13,4,15843,99,31
14,0,13481,2228,13
14,1,12391,21,0
14,2,15933,1316,0
14,3,17932,1060,3
14,4,15280,122,31
15,0,14015,2267,11
15,1,12522,12,0
15,2,15864,983,0
15,3,18171,966,7
15,4,15915,122,29
16,0,12938,2052,5
16,1,11171,25,0
16,2,14858,853,0
16,3,16737,724,3
16,4,15141,119,36
17,0,14460,2524,17
17,1,13459,28,0
17,2,16753,853,0
17,3,19750,735,8
17,4,16108,152,49
18,0,885,88,14
18,1,575,5,0
18,2,587,38,0
18,3,924,26,6
18,4,1049,22,36
19,0,455,49,15
19,1,323,0,0
19,2,308,12,0
19,3,435,10,6
19,4,616,20,39
20,0,695,44,9
20,1,585,2,0
20,2,649,35,0
20,3,874,30,2
20,4,905,14,31
21,0,869,74,13
21,1,731,3,0
21,2,822,54,0
21,3,1135,76,4
21,4,1052,18,38
22,0,1908,266,15
22,1,1705,9,0
22,2,1834,91,0
22,3,2380,145,4
22,4,2388,16,41
23,0,1866,200,6
23,1,1537,6,0
23,2,1614,68,0
23,3,2283,79,4
23,4,2311,25,25
24,0,1168,87,13
24,1,957,4,0
24,2,1080,46,0
24,3,1516,40,2
24,4,1458,29,37
25,0,2005,157,13
25,1,1671,6,0
25,2,1885,85,0
25,3,2703,83,2
25,4,2606,32,31
26,0,538,47,12
26,1,407,2,1
26,2,347,15,0
26,3,558,14,2
26,4,717,19,38
27,0,333,34,13
27,1,214,0,1
27,2,261,18,0
27,3,445,15,5
27,4,388,15,37
28,0,553,49,2
28,1,421,3,0
28,2,426,23,0
28,3,606,35,6
28,4,733,19,22
29,0,1938,173,18
29,1,1569,2,0
29,2,1806,69,0
29,3,2676,76,2
29,4,2437,16,24
30,0,317,20,13
30,1,160,0,0
30,2,116,5,0
30,3,911,29,5
30,4,632,22,39
31,0,14,14,14
31,1,1,0,1
31,3,2,2,2
31,4,36,18,36
