day,type,n,hc,fraud
1,CASH_IN,23441,3593,0
1,CASH_OUT,38543,1628,22
1,DEBIT,796,346,0
1,PAYMENT,37042,32,0
1,TRANSFER,8701,2337,26
2,CASH_IN,18746,2585,0
2,CASH_OUT,30947,518,22
2,DEBIT,470,81,0
2,PAYMENT,28289,31,0
2,TRANSFER,7180,832,35
3,CASH_IN,23,5,0
3,CASH_OUT,41,5,27
3,DEBIT,3,0,0
3,PAYMENT,77,4,0
3,TRANSFER,29,22,24
4,CASH_IN,878,108,0
4,CASH_OUT,1144,25,23
4,DEBIT,66,5,0
4,PAYMENT,2752,32,0
4,TRANSFER,491,91,27
5,CASH_IN,287,23,0
5,CASH_OUT,319,17,26
5,DEBIT,32,5,0
5,PAYMENT,1003,19,0
5,TRANSFER,186,51,24
6,CASH_IN,18752,2434,0
6,CASH_OUT,29996,479,22
6,DEBIT,497,58,0
6,PAYMENT,26796,24,0
6,TRANSFER,6790,724,14
7,CASH_IN,17609,2124,0
7,CASH_OUT,28760,428,28
7,DEBIT,478,53,0
7,PAYMENT,25845,33,0
7,TRANSFER,6585,586,23
8,CASH_IN,18953,2481,0
8,CASH_OUT,29937,422,28
8,DEBIT,532,69,0
8,PAYMENT,28157,24,0
8,TRANSFER,7004,638,26
9,CASH_IN,16811,2061,0
9,CASH_OUT,27991,415,22
9,DEBIT,417,61,0
9,PAYMENT,27194,47,0
9,TRANSFER,6438,473,27
10,CASH_IN,16047,1776,0
10,CASH_OUT,26215,376,26
10,DEBIT,450,56,0
10,PAYMENT,25008,38,0
10,TRANSFER,6073,648,25
11,CASH_IN,17069,2219,0
11,CASH_OUT,27993,420,31
11,DEBIT,380,40,0
11,PAYMENT,26719,32,0
11,TRANSFER,6464,487,30
12,CASH_IN,14178,1930,0
12,CASH_OUT,22893,297,31
12,DEBIT,420,42,0
12,PAYMENT,23250,78,0
12,TRANSFER,5194,518,28
13,CASH_IN,17973,2532,0
13,CASH_OUT,28701,479,19
13,DEBIT,467,45,0
13,PAYMENT,26729,23,0
13,TRANSFER,6959,2062,27
14,CASH_IN,16460,2315,0
14,CASH_OUT,26223,593,18
14,DEBIT,546,46,0
14,PAYMENT,25416,35,0
14,TRANSFER,6372,1758,29
15,CASH_IN,17084,2356,0
15,CASH_OUT,26517,667,26
15,DEBIT,610,56,0
15,PAYMENT,25800,13,0
15,TRANSFER,6476,1258,21
16,CASH_IN,15733,2136,0
16,CASH_OUT,24899,585,26
16,DEBIT,501,52,0
16,PAYMENT,23758,41,0
16,TRANSFER,5954,959,18
17,CASH_IN,17793,2597,0
17,CASH_OUT,28634,612,35
17,DEBIT,621,57,0
17,PAYMENT,26724,52,0
17,TRANSFER,6758,974,39
18,CASH_IN,1009,80,0
18,CASH_OUT,1164,28,30
18,DEBIT,43,5,0
18,PAYMENT,1444,5,0
18,TRANSFER,360,61,26
19,CASH_IN,502,34,0
19,CASH_OUT,602,15,24
19,DEBIT,14,0,0
19,PAYMENT,814,0,0
19,TRANSFER,205,42,36
20,CASH_IN,841,38,0
20,CASH_OUT,1181,24,25
20,DEBIT,28,3,0
20,PAYMENT,1301,2,0
20,TRANSFER,357,58,17
21,CASH_IN,1037,67,0
21,CASH_OUT,1466,45,28
21,DEBIT,16,2,0
21,PAYMENT,1599,3,0
21,TRANSFER,491,108,27
22,CASH_IN,2264,261,0
22,CASH_OUT,3227,76,30
22,DEBIT,98,6,0
22,PAYMENT,3723,12,0
22,TRANSFER,903,172,30
23,CASH_IN,2223,200,0
23,CASH_OUT,2993,69,15
23,DEBIT,73,6,0
23,PAYMENT,3448,8,0
23,TRANSFER,874,95,20
24,CASH_IN,1398,77,0
24,CASH_OUT,1990,49,22
24,DEBIT,50,6,0
24,PAYMENT,2122,7,0
24,TRANSFER,619,67,30
25,CASH_IN,2442,159,0
25,CASH_OUT,3578,85,22
25,DEBIT,93,12,0
25,PAYMENT,3705,4,0
25,TRANSFER,1052,103,24
26,CASH_IN,609,38,0
26,CASH_OUT,780,15,25
26,DEBIT,18,2,0
26,PAYMENT,935,2,0
26,TRANSFER,225,40,28
27,CASH_IN,403,25,0
27,CASH_OUT,556,24,27
27,DEBIT,6,1,0
27,PAYMENT,506,0,0
27,TRANSFER,170,32,29
28,CASH_IN,649,51,0
28,CASH_OUT,785,19,15
28,DEBIT,22,3,0
28,PAYMENT,1010,3,0
28,TRANSFER,273,53,15
29,CASH_IN,2371,166,0
29,CASH_OUT,3422,56,15
29,DEBIT,86,7,0
29,PAYMENT,3527,2,0
29,TRANSFER,1020,105,29
30,CASH_IN,461,9,0
30,CASH_OUT,779,25,24
30,DEBIT,23,2,0
30,PAYMENT,667,0,0
30,TRANSFER,206,40,33
31,CASH_OUT,24,6,24
31,TRANSFER,29,28,29
