day,vote,count,fraud
1,0,49204,5
1,1,51383,14
1,2,7332,24
1,3,604,5
2,0,46902,8
2,1,34683,12
2,2,3932,24
2,3,115,13
3,0,95,12
3,1,42,13
3,2,28,18
3,3,8,8
4,0,3551,9
4,1,1519,13
4,2,237,17
4,3,24,11
5,0,1205,12
5,1,507,9
5,2,105,23
5,3,10,6
6,0,45805,10
6,1,33307,10
6,2,3627,13
6,3,92,3
7,0,44996,14
7,1,31057,12
7,2,3171,19
7,3,53,6
8,0,48857,12
8,1,32092,9
8,2,3567,25
8,3,67,8
9,0,47340,9
9,1,28454,9
9,2,3015,24
9,3,42,7
10,0,43070,11
10,1,27829,13
10,2,2827,23
10,3,67,4
11,0,46835,14
11,1,28592,10
11,2,3147,27
11,3,51,10
12,0,40624,16
12,1,22446,11
12,2,2776,24
12,3,89,8
13,0,45975,7
13,1,29713,6
13,2,4525,23
13,3,616,10
14,0,43156,9
14,1,27114,8
14,2,4449,24
14,3,298,6
15,0,44008,16
15,1,28129,5
15,2,4196,19
15,3,154,7
16,0,41314,12
16,1,25758,12
16,2,3642,18
16,3,131,2
17,0,46701,8
17,1,29537,16
17,2,4170,33
17,3,122,17
18,0,2263,12
18,1,1578,8
18,2,163,24
18,3,16,12
19,0,1251,12
19,1,795,10
19,2,79,27
19,3,12,11
20,0,2117,14
20,1,1466,8
20,2,116,15
20,3,9,5
21,0,2607,10
21,1,1777,17
21,2,211,22
21,3,14,6
22,0,6002,19
22,1,3686,13
22,2,506,17
22,3,21,11
23,0,5591,5
23,1,3642,8
23,2,369,20
23,3,9,2
24,0,3550,11
24,1,2423,7
24,2,195,27
24,3,11,7
25,0,6429,8
25,1,4078,13
25,2,347,19
25,3,16,6
26,0,1507,10
26,1,963,12
26,2,87,23
26,3,10,8
27,0,898,12
27,1,661,13
27,2,68,18
27,3,14,13
28,0,1586,5
28,1,1024,4
28,2,123,21
28,3,6,0
29,0,6064,6
29,1,4026,13
29,2,312,11
29,3,24,14
30,0,1109,13
30,1,951,10
30,2,65,25
30,3,11,9
31,0,10,10
31,1,9,9
31,2,26,26
31,3,8,8
