day,cluster,n,fraud,sum_amount,sum_drain
1,0,98324,48,1.7128927e+10,89198.23
1,1,81662,1,9.8580154e+08,55987.76
1,2,122187,12,3.1763718e+10,1855.67
1,3,131978,7,3.8014407e+10,963257.25
1,4,140104,203,4.2390113e+09,35126.18
2,0,81221,62,1.3321757e+10,69931.64
2,1,67788,0,8.027397e+08,46218.99
2,2,96354,7,2.4337396e+10,711.85
2,3,109450,20,3.003619e+10,825890.2
2,4,100425,220,2.740561e+09,27307.75
3,0,203,72,2.0204642e+08,95.03
3,1,140,0,1.410646e+06,245.83
3,2,64,0,1.914381e+07,0.0
3,3,93,27,1.12031016e+08,529.46
3,4,570,211,1.12452584e+08,278.4
4,0,4413,60,9.128967e+08,2302.7
4,1,4966,0,5.9012264e+07,6629.36
4,2,4733,0,1.6637555e+09,15.78
4,3,3975,26,9.7864525e+08,29467.57
4,4,10153,176,2.1623768e+08,2682.24
5,0,1415,55,3.406439e+08,513.85
5,1,1763,0,2.143444e+07,2721.18
5,2,1517,0,5.2800384e+08,3.36
5,3,1093,23,3.202789e+08,8513.26
5,4,4001,174,1.14772744e+08,1134.46
6,0,80565,62,1.3309983e+10,69333.42
6,1,69485,0,1.02058323e+09,43658.8
6,2,93519,0,2.5430018e+10,484.87
6,3,108608,25,3.0935382e+10,831564.9
6,4,88828,141,2.7140206e+09,26534.24
7,0,75871,62,1.2194762e+10,65769.42
7,1,63698,0,7.840151e+08,41555.26
7,2,89363,0,2.3789625e+10,397.04
7,3,101194,27,2.7795261e+10,773369.6
7,4,90457,183,2.5071153e+09,26071.6
8,0,81547,63,1.2935593e+10,69008.22
8,1,67861,0,7.58756e+08,47469.46
8,2,94240,2,2.2750818e+10,389.22
8,3,107146,26,3.1005411e+10,820919.75
8,4,98843,187,2.5800218e+09,27544.98
9,0,74392,62,1.1643907e+10,58555.0
9,1,62962,1,7.4003603e+08,49052.12
9,2,86299,1,2.2425303e+10,387.36
9,3,93686,16,2.0880073e+10,693690.75
9,4,100580,175,2.3784486e+09,27118.52
10,0,69753,57,1.12619e+10,57602.74
10,1,63673,1,9.511431e+08,43471.62
10,2,82859,1,2.2332203e+10,249.42
10,3,94653,21,2.8270563e+10,729381.25
10,4,82007,202,2.3745426e+09,24562.82
11,0,75073,57,1.1695809e+10,59286.04
11,1,64477,1,7.741304e+08,48240.57
11,2,87249,0,1.9357286e+10,258.39
11,3,97993,24,2.6058711e+10,742599.2
11,4,93067,180,2.4427267e+09,26110.3
12,0,63395,68,9.84388e+09,47089.78
12,1,54784,1,7.4607277e+08,43427.15
12,2,70695,0,3.1643886e+10,261.85
12,3,74992,24,1.3700484e+10,542304.5
12,4,85910,205,2.0541761e+09,24492.65
13,0,77626,61,1.2924484e+10,65237.53
13,1,70760,0,1.2943009e+09,45480.08
13,2,91331,0,7.189652e+10,228.08
13,3,105448,22,4.9872925e+10,819651.7
13,4,83418,159,2.684838e+09,26443.6
14,0,71230,47,1.1800898e+10,58969.38
14,1,66343,0,1.1599441e+09,43851.09
14,2,84073,0,4.167512e+10,237.07
14,3,95599,17,4.300696e+10,744625.25
14,4,80631,182,2.3944376e+09,25311.1
15,0,73414,53,1.1914504e+10,60426.38
15,1,65065,0,9.9402464e+08,44271.65
15,2,83343,0,2.8591712e+10,228.23
15,3,96151,21,3.3563515e+10,740536.75
15,4,83309,176,2.4086098e+09,25362.53
16,0,67722,54,1.0998057e+10,54231.96
16,1,59832,0,8.9503565e+08,41214.5
16,2,78277,0,2.4608756e+10,215.52
16,3,88705,22,2.9187006e+10,681128.75
16,4,81058,176,2.2016876e+09,24151.46
17,0,76152,78,1.2662569e+10,61715.04
17,1,70531,1,1.1914307e+09,46226.51
17,2,89791,0,2.656612e+10,240.58
17,3,103635,27,3.1135676e+10,793087.06
17,4,85657,214,2.6943386e+09,27060.75
18,0,4396,66,9.565674e+08,3197.05
18,1,3172,2,4.815499e+07,3235.19
18,2,3163,0,1.2006728e+09,8.63
18,3,4742,28,1.242737e+09,35062.52
18,4,5526,172,2.6339912e+08,1606.96
19,0,2453,61,5.88755e+08,1444.69
19,1,1633,0,2.226885e+07,1616.99
19,2,1609,0,6.113469e+08,2.29
19,3,2313,27,5.396545e+08,16880.66
19,4,3292,168,1.748703e+08,1028.52
20,0,3604,55,7.043078e+08,2768.29
20,1,3207,0,4.126367e+07,2683.58
20,2,3328,0,1.2211611e+09,12.06
20,3,4773,14,1.4283597e+09,36438.24
20,4,4815,167,2.0128094e+08,1478.8
21,0,4714,70,9.2143917e+08,3748.28
21,1,3914,0,5.5177404e+07,3321.2
21,2,4221,0,1.5229765e+09,9.52
21,3,6062,24,2.1044256e+09,46879.88
21,4,5682,178,2.3640254e+08,1797.86
22,0,10093,56,1.7726377e+09,7511.85
22,1,8716,0,1.4151635e+08,7489.56
22,2,9685,0,2.801431e+09,20.31
22,3,12284,25,4.4101407e+09,93763.88
22,4,12659,175,3.895527e+08,3878.08
23,0,9654,46,1.6674015e+09,7831.03
23,1,8250,0,1.21315656e+08,6588.13
23,2,8684,0,2.4878374e+09,22.09
23,3,12275,17,3.5490445e+09,93117.41
23,4,12149,153,3.691467e+08,3711.2
24,0,6099,62,1.1408844e+09,4846.92
24,1,5005,1,5.8107932e+07,4048.32
24,2,5618,0,1.5439519e+09,11.38
24,3,8159,24,2.209023e+09,61898.12
24,4,7828,193,2.9154224e+08,2386.56
25,0,10725,62,1.8235747e+09,9285.53
25,1,9015,1,1.0349403e+08,7013.94
25,2,9683,0,3.1908073e+09,35.81
25,3,14550,15,3.6161308e+09,108793.4
25,4,13880,162,4.4348067e+08,3992.41
26,0,2873,59,6.337272e+08,1979.96
26,1,2201,1,2.6564356e+07,1823.43
26,2,1894,0,7.2074394e+08,10.5
26,3,3082,16,6.199388e+08,22299.86
26,4,3835,196,2.2773534e+08,1219.12
27,0,1739,57,4.7546342e+08,1474.97
27,1,1145,2,1.5928044e+07,929.82
27,2,1361,0,4.9381405e+08,3.93
27,3,2217,23,6.0060326e+08,16593.41
27,4,2116,198,1.7046003e+08,746.3
28,0,3018,55,6.56037e+08,2197.56
28,1,2178,1,2.4196394e+07,1897.63
28,2,2250,0,7.822546e+08,3.1
28,3,3452,23,1.4058458e+09,26346.27
28,4,3763,169,1.3838429e+08,1098.36
29,0,10340,66,1.8264086e+09,8862.04
29,1,8299,0,1.1087903e+08,6414.52
29,2,9587,0,2.6266204e+09,36.85
29,3,14052,29,4.355573e+09,106455.23
29,4,12612,165,4.3815533e+08,3896.65
30,0,1693,60,4.681502e+08,2870.18
30,1,938,1,1.4104752e+07,1982.11
30,2,567,0,1.34056296e+08,11.37
30,3,4657,25,1.1679661e+09,35581.39
30,4,3432,182,2.1162306e+08,1231.04
31,0,56,56,2.1967144e+08,49.28
31,1,3,3,0.0,0.0
31,3,21,21,1.0258897e+08,21.0
31,4,192,192,1.2582582e+08,192.0
