pc1,pc2,cluster,type,day
2.654,1.364,3,CASH_IN,12
-2.317,0.857,4,PAYMENT,1
1.723,1.396,0,CASH_IN,1
1.732,-1.939,2,TRANSFER,17
1.382,1.8,0,CASH_IN,9
-2.565,-0.871,1,PAYMENT,11
-0.079,-1.589,2,CASH_OUT,8
0.351,-1.702,2,CASH_OUT,6
-1.854,-1.07,1,PAYMENT,10
0.237,-2.92,2,CASH_OUT,23
0.733,0.032,3,CASH_OUT,2
0.95,0.137,3,CASH_OUT,7
1.228,-0.077,3,CASH_OUT,9
1.069,-0.559,3,CASH_OUT,13
-0.971,-1.28,1,PAYMENT,1
-0.614,0.226,1,PAYMENT,14
0.48,0.078,3,CASH_OUT,7
1.908,-0.096,3,CASH_OUT,6
1.343,-0.053,3,TRANSFER,11
1.086,-1.912,2,CASH_OUT,6
0.189,-1.662,2,CASH_OUT,12
1.309,-1.162,3,CASH_OUT,2
2.349,1.183,3,CASH_IN,27
-2.68,0.804,4,DEBIT,7
-1.177,-1.242,1,PAYMENT,14
-3.046,-0.86,1,CASH_OUT,6
0.795,1.326,0,CASH_IN,2
0.342,-1.274,3,CASH_OUT,1
1.935,1.364,0,CASH_IN,7
-0.348,-0.125,3,TRANSFER,17
-2.029,-1.007,1,PAYMENT,10
-1.673,-1.13,1,PAYMENT,15
0.262,1.371,0,CASH_IN,1
-1.225,-1.223,1,PAYMENT,9
1.438,-0.197,3,CASH_OUT,14
2.151,-0.0,3,TRANSFER,6
1.38,-1.504,3,CASH_OUT,13
2.069,1.779,0,CASH_IN,29
-2.611,0.986,4,PAYMENT,6
1.645,-0.914,2,CASH_OUT,10
-1.462,-1.187,1,PAYMENT,9
1.858,1.616,0,CASH_IN,1
0.823,-1.853,2,CASH_OUT,14
1.327,-0.196,3,CASH_OUT,10
-2.599,1.074,4,PAYMENT,6
-2.315,1.238,4,PAYMENT,2
1.733,1.843,0,CASH_IN,17
-2.124,0.912,4,PAYMENT,5
-0.825,0.234,1,PAYMENT,16
1.891,1.705,0,CASH_IN,8
1.549,-0.192,3,CASH_OUT,23
-1.001,0.201,1,PAYMENT,16
-1.69,-1.122,1,PAYMENT,12
1.673,1.418,3,CASH_IN,17
2.278,1.315,3,CASH_IN,13
1.652,1.502,0,CASH_IN,7
-2.29,-0.951,1,PAYMENT,13
2.081,1.941,0,CASH_IN,1
-1.26,-1.224,1,PAYMENT,10
-1.694,-1.093,1,PAYMENT,11
-2.517,1.164,4,PAYMENT,10
-0.073,-1.604,2,CASH_OUT,13
1.013,-1.882,2,CASH_OUT,15
1.829,1.867,0,CASH_IN,6
-0.162,-1.482,2,TRANSFER,10
-2.229,1.159,4,PAYMENT,8
-0.466,0.626,4,CASH_OUT,17
-1.019,-1.286,1,PAYMENT,20
-2.462,0.84,4,PAYMENT,17
-0.848,0.395,4,PAYMENT,12
-2.892,-0.812,1,PAYMENT,9
-0.48,0.054,3,CASH_OUT,10
0.139,0.055,3,CASH_OUT,8
1.632,-0.232,3,CASH_OUT,1
-2.467,1.151,4,PAYMENT,12
1.494,1.749,0,CASH_IN,16
-0.078,-1.606,2,CASH_OUT,7
-1.177,-1.249,1,PAYMENT,14
-1.301,0.69,4,CASH_OUT,10
2.085,1.275,3,CASH_IN,17
1.97,1.682,0,CASH_IN,16
1.392,-0.106,3,CASH_OUT,13
1.081,-1.775,2,TRANSFER,2
0.461,1.875,0,CASH_IN,17
-2.166,1.15,4,PAYMENT,2
2.023,1.878,0,CASH_IN,17
2.116,1.943,0,CASH_IN,11
-3.445,1.205,4,PAYMENT,10
-1.832,-1.054,1,PAYMENT,10
-1.415,-1.199,1,PAYMENT,13
-3.169,1.157,4,PAYMENT,1
0.651,-1.774,2,CASH_OUT,10
0.603,2.098,0,CASH_IN,11
-1.835,-1.078,1,PAYMENT,1
-1.168,0.313,1,PAYMENT,2
-1.729,-1.084,1,PAYMENT,17
-1.728,0.778,4,DEBIT,13
1.47,1.293,0,CASH_IN,24
-1.462,0.321,1,PAYMENT,11
-1.171,0.312,1,PAYMENT,9
1.221,1.93,0,CASH_IN,8
-2.998,1.148,4,PAYMENT,8
1.674,-0.167,3,CASH_OUT,8
1.182,0.004,3,CASH_OUT,8
-0.016,0.133,3,CASH_OUT,1
-1.559,0.43,4,PAYMENT,15
-2.784,0.983,4,PAYMENT,9
1.461,-0.096,3,CASH_OUT,8
-2.09,1.018,4,PAYMENT,1
-2.182,0.8,4,PAYMENT,11
-1.264,0.908,4,TRANSFER,2
-0.008,-1.628,2,CASH_OUT,23
1.972,1.279,0,CASH_IN,2
-0.797,0.024,3,PAYMENT,10
-2.134,0.836,4,PAYMENT,2
0.979,-1.883,2,CASH_OUT,14
-1.788,-1.108,1,PAYMENT,1
-3.005,1.029,4,PAYMENT,17
-2.45,1.054,4,PAYMENT,6
1.44,-0.098,3,CASH_OUT,9
1.637,1.936,0,CASH_IN,12
2.625,1.125,3,CASH_IN,1
1.048,-1.871,2,CASH_OUT,8
1.639,-1.925,2,TRANSFER,14
0.888,-1.841,2,CASH_OUT,8
-3.23,1.318,4,PAYMENT,14
1.655,1.823,0,CASH_IN,12
1.276,-1.96,2,CASH_OUT,10
-2.689,1.141,4,PAYMENT,8
-2.469,0.803,4,PAYMENT,2
0.894,-1.873,2,CASH_OUT,7
1.138,1.3,0,CASH_IN,8
-2.077,0.978,4,PAYMENT,17
0.124,-1.669,2,CASH_OUT,2
1.409,-1.856,2,TRANSFER,9
-2.3,1.02,4,PAYMENT,15
1.681,1.753,0,CASH_IN,9
0.897,-1.826,2,CASH_OUT,12
-2.448,0.855,4,PAYMENT,7
2.767,-0.133,3,TRANSFER,22
0.861,-1.844,2,CASH_OUT,10
1.709,1.472,0,CASH_IN,11
-1.62,-1.147,1,PAYMENT,13
2.056,1.717,0,CASH_IN,16
0.315,0.105,3,CASH_OUT,9
-1.376,0.485,4,PAYMENT,15
-0.447,-0.199,4,CASH_OUT,11
-2.962,1.208,4,PAYMENT,7
-0.819,-0.019,3,PAYMENT,9
1.385,-0.115,3,CASH_OUT,15
-3.006,0.859,4,PAYMENT,7
0.633,1.472,0,CASH_IN,10
-1.467,-1.143,1,PAYMENT,14
-2.392,0.848,4,PAYMENT,16
0.874,1.898,0,CASH_IN,10
-1.754,-1.07,1,PAYMENT,17
0.564,1.946,0,CASH_IN,24
1.598,1.592,0,CASH_IN,6
-1.47,0.466,4,PAYMENT,14
-2.466,0.85,4,PAYMENT,1
1.045,-1.791,2,TRANSFER,13
0.234,-1.57,2,TRANSFER,11
1.702,1.975,0,CASH_IN,15
-2.681,0.963,4,PAYMENT,7
-0.009,-2.981,2,CASH_OUT,1
0.809,-1.851,2,CASH_OUT,9
-1.531,-1.159,1,PAYMENT,1
0.358,0.092,3,CASH_OUT,14
1.652,1.447,3,CASH_IN,13
0.789,1.74,0,CASH_IN,15
1.636,-0.746,2,CASH_OUT,1
1.028,-1.894,2,CASH_OUT,10
1.588,-1.927,2,TRANSFER,17
-2.215,0.855,4,PAYMENT,1
0.703,-1.787,2,CASH_OUT,10
