day,cluster,type,n
1,0,CASH_IN,88902
1,0,CASH_OUT,8032
1,0,DEBIT,73
1,0,TRANSFER,1317
1,1,CASH_IN,544
1,1,CASH_OUT,1310
1,1,DEBIT,448
1,1,PAYMENT,79157
1,1,TRANSFER,203
1,2,CASH_IN,2198
1,2,CASH_OUT,95958
1,2,DEBIT,260
1,2,TRANSFER,23771
1,3,CASH_IN,30258
1,3,CASH_OUT,74448
1,3,DEBIT,346
1,3,PAYMENT,7916
1,3,TRANSFER,19010
1,4,CASH_IN,2124
1,4,CASH_OUT,24649
1,4,DEBIT,3343
1,4,PAYMENT,107603
1,4,TRANSFER,2385
2,0,CASH_IN,78667
2,0,CASH_OUT,2202
2,0,DEBIT,8
2,0,TRANSFER,344
2,1,CASH_IN,227
2,1,CASH_OUT,963
2,1,DEBIT,380
2,1,PAYMENT,66056
2,1,TRANSFER,162
2,2,CASH_IN,1147
2,2,CASH_OUT,75064
2,2,DEBIT,131
2,2,TRANSFER,20012
2,3,CASH_IN,18963
2,3,CASH_OUT,68246
2,3,DEBIT,170
2,3,PAYMENT,6057
2,3,TRANSFER,16014
2,4,CASH_IN,703
2,4,CASH_OUT,18130
2,4,DEBIT,1821
2,4,PAYMENT,78034
2,4,TRANSFER,1737
3,0,CASH_IN,131
3,0,TRANSFER,72
3,1,CASH_OUT,1
3,1,PAYMENT,139
3,2,CASH_OUT,50
3,2,TRANSFER,14
3,3,CASH_IN,5
3,3,CASH_OUT,52
3,3,DEBIT,2
3,3,PAYMENT,17
3,3,TRANSFER,17
3,4,CASH_IN,1
3,4,CASH_OUT,137
3,4,DEBIT,22
3,4,PAYMENT,324
3,4,TRANSFER,86
4,0,CASH_IN,4332
4,0,CASH_OUT,17
4,0,TRANSFER,64
4,1,CASH_IN,4
4,1,CASH_OUT,32
4,1,DEBIT,25
4,1,PAYMENT,4892
4,1,TRANSFER,13
4,2,CASH_IN,39
4,2,CASH_OUT,3332
4,2,DEBIT,12
4,2,TRANSFER,1350
4,3,CASH_IN,453
4,3,CASH_OUT,2117
4,3,DEBIT,20
4,3,PAYMENT,516
4,3,TRANSFER,869
4,4,CASH_IN,20
4,4,CASH_OUT,754
4,4,DEBIT,283
4,4,PAYMENT,8878
4,4,TRANSFER,218
5,0,CASH_IN,1359
5,0,TRANSFER,56
5,1,CASH_OUT,8
5,1,DEBIT,4
5,1,PAYMENT,1745
5,1,TRANSFER,6
5,2,CASH_IN,15
5,2,CASH_OUT,1042
5,2,TRANSFER,460
5,3,CASH_IN,72
5,3,CASH_OUT,470
5,3,DEBIT,23
5,3,PAYMENT,244
5,3,TRANSFER,284
5,4,CASH_IN,4
5,4,CASH_OUT,249
5,4,DEBIT,167
5,4,PAYMENT,3481
5,4,TRANSFER,100
6,0,CASH_IN,78718
6,0,CASH_OUT,1563
6,0,DEBIT,8
6,0,TRANSFER,276
6,1,CASH_IN,198
6,1,CASH_OUT,942
6,1,DEBIT,312
6,1,PAYMENT,67876
6,1,TRANSFER,157
6,2,CASH_IN,988
6,2,CASH_OUT,72907
6,2,DEBIT,150
6,2,TRANSFER,19474
6,3,CASH_IN,19445
6,3,CASH_OUT,66703
6,3,DEBIT,210
6,3,PAYMENT,7302
6,3,TRANSFER,14948
6,4,CASH_IN,623
6,4,CASH_OUT,17481
6,4,DEBIT,1983
6,4,PAYMENT,67282
6,4,TRANSFER,1459
7,0,CASH_IN,74624
7,0,CASH_OUT,1039
7,0,DEBIT,6
