day,volume,fraud,mean_amount,fraud_rate
1,574255,271,160437.0,0.047
2,455238,309,156487.0,0.068
3,1070,310,417836.0,28.972
4,28240,262,135643.0,0.928
5,9789,252,135370.0,2.574
6,441005,228,166461.0,0.052
7,420583,272,159471.0,0.065
8,449637,278,155749.0,0.062
9,417919,255,138945.0,0.061
10,392945,282,165902.0,0.072
11,417859,262,144376.0,0.063
12,349776,298,165788.0,0.085
13,428583,242,323562.0,0.056
14,397876,246,251428.0,0.062
15,401282,250,193062.0,0.062
16,375594,252,180755.0,0.067
17,425766,320,174392.0,0.075
18,20999,268,176748.0,1.276
19,11300,256,171407.0,2.265
20,19727,236,182307.0,1.196
21,24593,272,196821.0,1.106
22,53437,256,178065.0,0.479
23,51012,216,160644.0,0.423
24,32709,280,160308.0,0.856
25,57853,240,158635.0,0.415
26,13885,272,160512.0,1.959
27,8578,280,204741.0,3.264
28,14661,248,205083.0,1.692
29,54890,260,170480.0,0.474
30,11287,268,176832.0,2.374
31,272,272,1.647376e+06,100.0
