type,segmen,day,amount,saldo_awal,drain_ratio,jam,cluster,is_iqr,is_z,is_iso,anomaly_vote,dist,top_reason,anomali,fraud
CASH_IN,CASH_IN · nominal sedang,11,105041,11681794,0.009,13,0,1,1,0,2,0.74,saldo awal pengirim sangat ekstrem,1,0
PAYMENT,PAYMENT · nominal kecil,9,9495,9340,1.017,19,4,0,0,0,0,1.41,saldo pengirim tidak konsisten secara logika,0,0
PAYMENT,PAYMENT · nominal kecil,1,3991,141941,0.028,16,4,0,0,0,0,0.69,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_OUT · nominal besar,9,1068883,227,10.0,23,3,1,0,1,2,2.74,menguras hampir seluruh saldo,1,0
TRANSFER,CASH_OUT · nominal besar,14,2006488,0,0.0,22,2,1,1,0,2,2.43,nominal transaksi sangat ekstrem,1,0
PAYMENT,PAYMENT · nominal kecil,10,23730,0,0.0,19,1,0,0,0,0,1.14,menguras hampir seluruh saldo,0,0
TRANSFER,PAYMENT · nominal kecil,12,27060,27060,1.0,9,4,1,0,0,1,2.75,saldo pengirim tidak konsisten secara logika,0,1
TRANSFER,CASH_IN · nominal sedang,26,1425063,1425063,1.0,13,0,1,1,1,3,3.73,saldo tujuan tidak konsisten secara logika,1,1
TRANSFER,PAYMENT · nominal kecil,27,367631,367631,1.0,1,4,1,0,1,2,4.71,saldo tujuan tidak konsisten secara logika,1,1
TRANSFER,CASH_OUT · nominal besar,7,475080,10302,10.0,19,3,1,0,0,1,1.84,menguras hampir seluruh saldo,0,0
CASH_OUT,PAYMENT · nominal kecil,18,1346265,1346265,1.0,16,4,1,0,0,1,3.49,nominal transaksi sangat ekstrem,0,1
PAYMENT,PAYMENT · nominal kecil,13,13733,496058,0.028,20,4,1,0,0,1,1.19,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_IN · nominal sedang,1,65605,11895264,0.006,11,0,1,1,0,2,1.15,saldo awal pengirim sangat ekstrem,1,0
PAYMENT,PAYMENT · nominal kecil,11,56213,0,0.0,11,1,0,0,0,0,1.55,menguras hampir seluruh saldo,0,0
CASH_OUT,CASH_OUT · nominal besar,10,210131,0,0.0,13,2,1,0,0,1,1.88,menguras hampir seluruh saldo,0,0
CASH_OUT,CASH_OUT · nominal besar,13,204936,0,0.0,20,2,0,0,0,0,1.15,menguras hampir seluruh saldo,0,0
