pct_inspected,pct_fraud_caught
0,0.0
1,49.68
2,56.86
3,59.47
4,61.44
5,64.49
6,67.41
7,69.31
8,71.41
9,73.7
10,76.37
11,78.21
12,79.42
13,80.62
14,82.4
15,83.74
16,85.64
17,87.48
18,88.88
19,90.53
20,91.55
21,92.31
22,93.14
23,93.77
24,94.41
25,94.79
26,95.3
27,95.68
28,96.06
29,96.57
30,97.08
31,97.52
32,97.9
33,98.41
34,98.86
35,98.92
36,99.56
37,99.81
38,99.87
39,99.94
40,99.94
41,99.94
42,99.94
43,99.94
44,99.94
45,99.94
46,99.94
47,99.94
48,99.94
49,99.94
50,99.94
51,99.94
52,99.94
53,99.94
54,99.94
55,99.94
56,99.94
57,99.94
58,99.94
59,99.94
60,99.94
61,99.94
62,99.94
63,99.94
64,99.94
65,99.94
66,99.94
67,99.94
68,99.94
69,99.94
70,100.0
71,100.0
72,100.0
73,100.0
74,100.0
75,100.0
76,100.0
77,100.0
78,100.0
79,100.0
80,100.0
81,100.0
82,100.0
83,100.0
84,100.0
85,100.0
86,100.0
87,100.0
88,100.0
89,100.0
90,100.0
91,100.0
92,100.0
93,100.0
94,100.0
95,100.0
96,100.0
97,100.0
98,100.0
99,100.0
100,100.0
