rule_#,day,n_ac,n_a,n_c,n_total
1,1,9156,15348,54532,574255
1,2,7258,10975,41449,455238
1,3,5,69,84,1070
1,4,297,501,3404,28240
1,5,65,165,1253,9789
1,6,6945,10374,40368,441005
1,7,6618,9848,39353,420583
1,8,7105,10498,41317,449637
1,9,7606,11101,40900,417919
1,10,5925,8945,36687,392945
1,11,6795,10108,38484,417859
1,12,7285,10571,36523,349776
1,13,6393,9517,39731,428583
1,14,5938,8748,37617,397876
1,15,6172,9175,37902,401282
1,16,6167,9020,36114,375594
1,17,6983,10256,39968,425766
1,18,346,576,2117,20999
1,19,202,342,1244,11300
1,20,331,554,1974,19727
1,21,396,628,2424,24593
1,22,806,1262,5492,53437
1,23,927,1348,5259,51012
1,24,557,869,3367,32709
1,25,1102,1683,5717,57853
1,26,305,517,1506,13885
1,27,151,284,838,8578
1,28,204,369,1400,14661
1,29,936,1427,5550,54890
1,30,248,418,1536,11287
1,31,0,72,9,272
2,1,11655,11655,137863,574255
2,2,7916,7916,97886,455238
2,3,0,0,662,1070
2,4,0,0,9970,28240
2,5,0,0,3968,9789
2,6,7628,7628,86115,441005
2,7,6999,6999,87810,420583
2,8,7427,7427,96079,449637
2,9,7881,7881,97883,417919
2,10,6089,6089,79417,392945
2,11,7173,7173,90469,417859
2,12,6928,6928,83395,349776
2,13,7042,7042,80586,428583
2,14,6419,6419,77875,397876
2,15,6682,6682,80591,401282
2,16,5994,5994,78527,375594
2,17,7354,7354,82737,425766
2,18,334,334,5460,20999
2,19,143,143,3272,11300
2,20,327,327,4741,19727
2,21,372,372,5597,24593
2,22,936,936,12293,53437
2,23,915,915,11784,51012
2,24,589,589,7701,32709
2,25,1130,1130,13544,57853
2,26,284,284,3799,13885
2,27,145,145,2134,8578
2,28,215,215,3732,14661
2,29,986,986,12289,54890
2,30,232,232,3388,11287
2,31,0,0,269,272
3,1,6862,6862,137863,574255
3,2,6670,6670,97886,455238
3,3,0,0,662,1070
3,4,1827,1827,9970,28240
3,5,611,611,3968,9789
3,6,6455,6455,86115,441005
3,7,6775,6775,87810,420583
3,8,6736,6736,96079,449637
3,9,6257,6257,97883,417919
3,10,6872,6872,79417,392945
3,11,5812,5812,90469,417859
3,12,6449,6449,83395,349776
3,13,7200,7200,80586,428583
3,14,7366,7366,77875,397876
3,15,6650,6650,80591,401282
3,16,6402,6402,78527,375594
3,17,7000,7000,82737,425766
3,18,427,427,5460,20999
3,19,316,316,3272,11300
3,20,479,479,4741,19727
3,21,528,528,5597,24593
3,22,1253,1253,12293,53437
3,23,995,995,11784,51012
3,24,654,654,7701,32709
3,25,1107,1107,13544,57853
3,26,216,216,3799,13885
3,27,141,141,2134,8578
3,28,218,218,3732,14661
