rule_#,antecedent,consequent,support,confidence,lift,business_interpretation
1,"amount_category=Medium_Amount, dest_kind=Dest_Customer, orig_balance_consistency=Orig_Consistent",drain_category=Mid_Drain,0.016,0.664,6.988,"When a transaction is [amount_category=Medium_Amount, dest_kind=Dest_Customer, orig_balance_consistency=Orig_Consistent], it is [drain_category=Mid_Drain] 66% of the time - 7.0x more often than the drain_category=Mid_Drain baseline."
2,"drain_category=Mid_Drain, time_segment=Working_Hours, type=CASH_OUT",orig_balance_consistency=Orig_Consistent,0.017,1.0,4.672,"When a transaction is [drain_category=Mid_Drain, time_segment=Working_Hours, type=CASH_OUT], it is [orig_balance_consistency=Orig_Consistent] 100% of the time - 4.7x more often than the orig_balance_consistency=Orig_Consistent baseline."
3,"drain_category=Mid_Drain, time_segment=Evening, type=PAYMENT",orig_balance_consistency=Orig_Consistent,0.016,1.0,4.672,"When a transaction is [drain_category=Mid_Drain, time_segment=Evening, type=PAYMENT], it is [orig_balance_consistency=Orig_Consistent] 100% of the time - 4.7x more often than the orig_balance_consistency=Orig_Consistent baseline."
4,"orig_balance_consistency=Orig_Consistent, time_segment=Evening, type=PAYMENT",amount_category=Low_Amount,0.053,0.944,2.831,"When a transaction is [orig_balance_consistency=Orig_Consistent, time_segment=Evening, type=PAYMENT], it is [amount_category=Low_Amount] 94% of the time - 2.8x more often than the amount_category=Low_Amount baseline."
5,"dest_kind=Dest_Merchant, orig_balance_consistency=Orig_Consistent, time_segment=Evening",amount_category=Low_Amount,0.053,0.944,2.831,"When a transaction is [dest_kind=Dest_Merchant, orig_balance_consistency=Orig_Consistent, time_segment=Evening], it is [amount_category=Low_Amount] 94% of the time - 2.8x more often than the amount_category=Low_Amount baseline."
6,"emptied_origin=Emptied, time_segment=Working_Hours, type=TRANSFER",amount_category=High_Amount,0.024,0.901,2.703,"When a transaction is [emptied_origin=Emptied, time_segment=Working_Hours, type=TRANSFER], it is [amount_category=High_Amount] 90% of the time - 2.7x more often than the amount_category=High_Amount baseline."
7,"drain_category=Full_Drain, time_segment=Working_Hours, type=TRANSFER",amount_category=High_Amount,0.024,0.899,2.697,"When a transaction is [drain_category=Full_Drain, time_segment=Working_Hours, type=TRANSFER], it is [amount_category=High_Amount] 90% of the time - 2.7x more often than the amount_category=High_Amount baseline."
8,"amount_category=Low_Amount, orig_balance_consistency=Orig_Consistent",type=PAYMENT,0.146,0.906,2.679,"When a transaction is [amount_category=Low_Amount, orig_balance_consistency=Orig_Consistent], it is [type=PAYMENT] 91% of the time - 2.7x more often than the type=PAYMENT baseline."
9,"amount_category=Low_Amount, orig_balance_consistency=Orig_Consistent, time_segment=Working_Hours",type=PAYMENT,0.087,0.901,2.664,"When a transaction is [amount_category=Low_Amount, orig_balance_consistency=Orig_Consistent, time_segment=Working_Hours], it is [type=PAYMENT] 90% of the time - 2.7x more often than the type=PAYMENT baseline."
10,"amount_category=Medium_Amount, emptied_origin=Emptied, time_segment=Evening",type=CASH_OUT,0.02,0.828,2.355,"When a transaction is [amount_category=Medium_Amount, emptied_origin=Emptied, time_segment=Evening], it is [type=CASH_OUT] 83% of the time - 2.4x more often than the type=CASH_OUT baseline."
11,"amount_category=Medium_Amount, emptied_origin=Emptied",type=CASH_OUT,0.062,0.748,2.127,"When a transaction is [amount_category=Medium_Amount, emptied_origin=Emptied], it is [type=CASH_OUT] 75% of the time - 2.1x more often than the type=CASH_OUT baseline."
12,"drain_category=Mid_Drain, type=CASH_OUT",amount_category=Medium_Amount,0.015,0.612,1.836,"When a transaction is [drain_category=Mid_Drain, type=CASH_OUT], it is [amount_category=Medium_Amount] 61% of the time - 1.8x more often than the amount_category=Medium_Amount baseline."
