day,type,n,fraud
1,CASH_IN,124026,0
1,CASH_OUT,204397,141
1,DEBIT,4470,0
1,PAYMENT,194676,0
1,TRANSFER,46686,130
2,CASH_IN,99707,0
2,CASH_OUT,164605,156
2,DEBIT,2510,0
2,PAYMENT,150147,0
2,TRANSFER,38269,153
3,CASH_IN,137,0
3,CASH_OUT,240,155
3,DEBIT,24,0
3,PAYMENT,480,0
3,TRANSFER,189,155
4,CASH_IN,4848,0
4,CASH_OUT,6252,131
4,DEBIT,340,0
4,PAYMENT,14286,0
4,TRANSFER,2514,131
5,CASH_IN,1450,0
5,CASH_OUT,1769,126
5,DEBIT,194,0
5,PAYMENT,5470,0
5,TRANSFER,906,126
6,CASH_IN,99972,0
6,CASH_OUT,159596,114
6,DEBIT,2663,0
6,PAYMENT,142460,0
6,TRANSFER,36314,114
7,CASH_IN,93735,0
7,CASH_OUT,151338,136
7,DEBIT,2539,0
7,PAYMENT,138250,0
7,TRANSFER,34721,136
8,CASH_IN,99924,0
8,CASH_OUT,159368,140
8,DEBIT,2895,0
8,PAYMENT,149776,0
8,TRANSFER,37674,138
9,CASH_IN,89361,0
9,CASH_OUT,147654,128
9,DEBIT,2128,0
9,PAYMENT,144781,0
9,TRANSFER,33995,127
10,CASH_IN,85807,0
10,CASH_OUT,139113,142
10,DEBIT,2413,0
10,PAYMENT,132895,0
10,TRANSFER,32717,140
11,CASH_IN,91109,0
11,CASH_OUT,148021,131
11,DEBIT,2049,0
11,PAYMENT,142592,0
11,TRANSFER,34088,131
12,CASH_IN,74454,0
12,CASH_OUT,121504,149
12,DEBIT,2194,0
12,PAYMENT,123788,0
12,TRANSFER,27836,149
13,CASH_IN,95840,0
13,CASH_OUT,151884,121
13,DEBIT,2626,0
13,PAYMENT,141460,0
13,TRANSFER,36773,121
14,CASH_IN,87298,0
14,CASH_OUT,138626,123
14,DEBIT,2881,0
14,PAYMENT,135173,0
14,TRANSFER,33898,123
15,CASH_IN,89636,0
15,CASH_OUT,140175,125
15,DEBIT,3271,0
15,PAYMENT,134424,0
15,TRANSFER,33776,125
16,CASH_IN,82591,0
16,CASH_OUT,131588,126
16,DEBIT,2414,0
16,PAYMENT,127445,0
16,TRANSFER,31556,126
17,CASH_IN,93494,0
17,CASH_OUT,152162,160
17,DEBIT,2878,0
17,PAYMENT,141614,0
17,TRANSFER,35618,160
18,CASH_IN,5065,0
18,CASH_OUT,6201,134
18,DEBIT,186,0
18,PAYMENT,7680,0
18,TRANSFER,1867,134
19,CASH_IN,2709,0
19,CASH_OUT,3230,128
19,DEBIT,66,0
19,PAYMENT,4302,0
19,TRANSFER,993,128
20,CASH_IN,4366,0
20,CASH_OUT,6191,118
20,DEBIT,138,0
20,PAYMENT,7081,0
20,TRANSFER,1951,118
21,CASH_IN,5634,0
21,CASH_OUT,7567,136
21,DEBIT,112,0
21,PAYMENT,8739,0
21,TRANSFER,2541,136
22,CASH_IN,12005,0
22,CASH_OUT,16732,128
22,DEBIT,522,0
22,PAYMENT,19381,0
22,TRANSFER,4797,128
23,CASH_IN,11552,0
23,CASH_OUT,16132,108
23,DEBIT,409,0
23,PAYMENT,18261,0
23,TRANSFER,4658,108
24,CASH_IN,7417,0
24,CASH_OUT,10676,140
24,DEBIT,196,0
24,PAYMENT,11322,0
24,TRANSFER,3098,140
25,CASH_IN,13088,0
25,CASH_OUT,19054,120
25,DEBIT,491,0
25,PAYMENT,19871,0
25,TRANSFER,5349,120
26,CASH_IN,3289,0
26,CASH_OUT,4214,136
26,DEBIT,110,0
26,PAYMENT,5028,0
26,TRANSFER,1244,136
27,CASH_IN,2093,0
27,CASH_OUT,2834,140
27,DEBIT,30,0
27,PAYMENT,2733,0
27,TRANSFER,888,140
28,CASH_IN,3576,0
28,CASH_OUT,4229,124
28,DEBIT,96,0
28,PAYMENT,5265,0
28,TRANSFER,1495,124
29,CASH_IN,12682,0
29,CASH_OUT,17965,130
29,DEBIT,462,0
29,PAYMENT,18433,0
29,TRANSFER,5348,130
30,CASH_IN,2419,0
30,CASH_OUT,4047,134
30,DEBIT,125,0
30,PAYMENT,3682,0
30,TRANSFER,1014,134
31,CASH_OUT,136,136
31,TRANSFER,136,136
